loss,accuracy,val_loss,val_accuracy
0.08506292849779129,0.9696866273880005,0.6498793363571167,0.8528610467910767
0.06371066719293594,0.9778610467910767,0.6279630064964294,0.863760232925415
0.044785138219594955,0.9853542447090149,0.6411051750183105,0.8678473830223083
0.11736015975475311,0.9625340700149536,0.6983214616775513,0.8569482564926147
0.07392069697380066,0.9744550585746765,0.6019057035446167,0.863760232925415
0.043964188545942307,0.9843324422836304,0.6363003253936768,0.8651226162910461
0.035394057631492615,0.9863760471343994,0.6049967408180237,0.8705722093582153
0.04410277679562569,0.9860354065895081,0.7457754611968994,0.8514986634254456
0.03458130359649658,0.9870572090148926,0.7713507413864136,0.859673023223877
0.07113390415906906,0.9788828492164612,0.859876811504364,0.8419618606567383
