loss,accuracy,val_loss,val_accuracy,lr
0.5008593797683716,0.8181198835372925,0.40644192695617676,0.8555858135223389,0.001
0.3965524435043335,0.8579699993133545,0.33222222328186035,0.8814713954925537,0.001
0.3387530446052551,0.8835150003433228,0.3233695328235626,0.8719345927238464,0.001
0.2997022271156311,0.8927111625671387,0.3658076524734497,0.8583106398582458,0.001
0.25155559182167053,0.9111035466194153,0.322428822517395,0.8869209885597229,0.001
0.2207525670528412,0.9243869185447693,0.30891916155815125,0.8964577913284302,0.001
0.2066364586353302,0.9305177330970764,0.36602655053138733,0.8773841857910156,0.001
0.17991375923156738,0.9363079071044922,0.37985605001449585,0.8719345927238464,0.001
0.14459525048732758,0.955381453037262,0.331020325422287,0.891008198261261,0.0005
0.1278133988380432,0.962193489074707,0.3494897186756134,0.8828337788581848,0.0005
