loss,accuracy,val_loss,val_accuracy
0.8314527273178101,0.7506812214851379,0.42786160111427307,0.859673023223877
0.3584373891353607,0.877043604850769,0.49157944321632385,0.8201634883880615
0.27206331491470337,0.9070163369178772,0.544272243976593,0.8269754648208618
0.23373648524284363,0.9151907563209534,0.37176892161369324,0.8664849996566772
0.17470590770244598,0.9366484880447388,0.4489562213420868,0.8501362204551697
0.1585608720779419,0.9400544762611389,0.6967061161994934,0.7983651161193848
0.1473737359046936,0.946866512298584,0.5074446797370911,0.8583106398582458
0.11779153347015381,0.9550408720970154,0.5490926504135132,0.8692098259925842
0.10033246129751205,0.9628746509552002,0.5671378970146179,0.8692098259925842
0.08595503866672516,0.9662806391716003,0.6792322993278503,0.859673023223877
