"","AAPL.Close"
"1",132.539993286133
"2",127.849998474121
"3",128.100006103516
"4",129.740005493164
"5",130.210006713867
"6",126.849998474121
"7",125.910003662109
"8",122.769996643066
"9",124.970001220703
"10",127.449996948242
"11",126.269996643066
"12",124.849998474121
"13",124.690002441406
"14",127.309997558594
"15",125.430000305176
"16",127.099998474121
"17",126.900001525879
"18",126.849998474121
"19",125.279998779297
"20",124.610000610352
"21",124.279998779297
"22",125.059997558594
"23",123.540000915527
"24",125.889999389648
"25",125.900001525879
"26",126.73999786377
"27",127.129997253418
"28",126.110000610352
"29",127.349998474121
"30",130.479995727539
"31",129.639999389648
"32",130.149993896484
"33",131.789993286133
"34",130.460006713867
"35",132.300003051758
"36",133.979995727539
"37",133.699996948242
"38",133.410003662109
"39",133.110000610352
"40",134.779998779297
"41",136.330001831055
"42",136.960006713867
"43",137.270004272461
"44",139.960006713867
"45",142.020004272461
"46",144.570007324219
"47",143.240005493164
"48",145.110000610352
"49",144.5
"50",145.639999389648
"51",149.149993896484
"52",148.479995727539
"53",146.389999389648
"54",142.449996948242
"55",146.149993896484
"56",145.399993896484
"57",146.800003051758
"58",148.559997558594
"59",148.990005493164
"60",146.770004272461
"61",144.979995727539
"62",145.639999389648
"63",145.860000610352
"64",145.520004272461
"65",147.360000610352
"66",146.949996948242
"67",147.059997558594
"68",146.139999389648
"69",146.089996337891
"70",145.600006103516
"71",145.860000610352
"72",148.889999389648
"73",149.100006103516
"74",151.119995117188
"75",150.190002441406
"76",146.360000610352
"77",146.699996948242
"78",148.190002441406
"79",149.710006713867
"80",149.619995117188
"81",148.360000610352
"82",147.539993286133
"83",148.600006103516
"84",153.119995117188
"85",151.830001831055
"86",152.509994506836
"87",153.649993896484
"88",154.300003051758
"89",156.690002441406
"90",155.110000610352
"91",154.070007324219
"92",148.970001220703
"93",149.550003051758
"94",148.119995117188
"95",149.029998779297
"96",148.789993286133
"97",146.059997558594
"98",142.940002441406
"99",143.429992675781
"100",145.850006103516
"101",146.830001831055
"102",146.919998168945
"103",145.369995117188
"104",141.910003662109
"105",142.830001831055
"106",141.5
"107",142.649993896484
"108",139.139999389648
"109",141.110000610352
"110",142
"111",143.289993286133
"112",142.899993896484
"113",142.809997558594
"114",141.509994506836
"115",140.910003662109
"116",143.759994506836
"117",144.839996337891
"118",146.550003051758
"119",148.759994506836
"120",149.259994506836
"121",149.479995727539
"122",148.690002441406
"123",148.639999389648
"124",149.320007324219
"125",148.850006103516
"126",152.570007324219
"127",149.800003051758
"128",148.960006713867
"129",150.020004272461
"130",151.490005493164
"131",150.960006713867
"132",151.279998779297
"133",150.440002441406
"134",150.809997558594
"135",147.919998168945
"136",147.869995117188
"137",149.990005493164
"138",150
"139",151
"140",153.490005493164
"141",157.869995117188
"142",160.550003051758
"143",161.020004272461
"144",161.410003662109
"145",161.940002441406
"146",156.809997558594
"147",160.240005493164
"148",165.300003051758
"149",164.770004272461
"150",163.759994506836
"151",161.839996337891
"152",165.320007324219
"153",171.179992675781
"154",175.080001831055
"155",174.559997558594
"156",179.449996948242
"157",175.740005493164
"158",174.330001831055
"159",179.300003051758
"160",172.259994506836
"161",171.139999389648
"162",169.75
"163",172.990005493164
"164",175.639999389648
"165",176.279998779297
"166",180.330001831055
"167",179.289993286133
"168",179.380004882812
"169",178.199996948242
"170",177.570007324219
"171",182.009994506836
"172",179.699996948242
"173",174.919998168945
"174",172
"175",172.169998168945
"176",172.190002441406
"177",175.080001831055
"178",175.529998779297
"179",172.190002441406
"180",173.070007324219
"181",169.800003051758
"182",166.229995727539
"183",164.509994506836
"184",162.410003662109
"185",161.619995117188
"186",159.779998779297
"187",159.690002441406
"188",159.220001220703
"189",170.330001831055
"190",174.779998779297
"191",174.610000610352
"192",175.839996337891
"193",172.899993896484
"194",172.389999389648
"195",171.660003662109
"196",174.830001831055
"197",176.279998779297
"198",172.119995117188
"199",168.639999389648
"200",168.880004882812
"201",172.789993286133
"202",172.550003051758
"203",168.880004882812
"204",167.300003051758
"205",164.320007324219
"206",160.070007324219
"207",162.740005493164
"208",164.850006103516
"209",165.119995117188
"210",163.199996948242
"211",166.559997558594
"212",166.229995727539
"213",163.169998168945
"214",159.300003051758
"215",157.440002441406
"216",162.949996948242
"217",158.520004272461
"218",154.729995727539
"219",150.619995117188
"220",155.089996337891
"221",159.589996337891
"222",160.619995117188
"223",163.979995727539
"224",165.380004882812
"225",168.820007324219
"226",170.210006713867
"227",174.070007324219
"228",174.720001220703
"229",175.600006103516
"230",178.960006713867
"231",177.770004272461
"232",174.610000610352
"233",174.309997558594
"234",178.440002441406
"235",175.059997558594
"236",171.830001831055
"237",172.139999389648
"238",170.089996337891
"239",165.75
"240",167.660003662109
"241",170.399993896484
"242",165.289993286133
"243",165.070007324219
"244",167.399993896484
"245",167.229995727539
"246",166.419998168945
"247",161.789993286133
"248",162.880004882812
"249",156.800003051758
"250",156.570007324219
"251",163.639999389648
"252",157.649993896484
"253",157.960006713867
"254",159.479995727539
"255",166.020004272461
"256",156.770004272461
"257",157.279998779297
"258",152.059997558594
"259",154.509994506836
"260",146.5
"261",142.559997558594
"262",147.110000610352
"263",145.539993286133
"264",149.240005493164
"265",140.820007324219
"266",137.350006103516
"267",137.589996337891
"268",143.110000610352
"269",140.360000610352
"270",140.520004272461
"271",143.779998779297
"272",149.639999389648
"273",148.839996337891
"274",148.710006713867
"275",151.210006713867
"276",145.380004882812
"277",146.139999389648
"278",148.710006713867
"279",147.960006713867
"280",142.639999389648
"281",137.130004882812
"282",131.880004882812
"283",132.759994506836
"284",135.429992675781
"285",130.059997558594
"286",131.559997558594
"287",135.869995117188
"288",135.350006103516
"289",138.270004272461
"290",141.660003662109
"291",141.660003662109
"292",137.440002441406
"293",139.229995727539
